"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"SPICEPREFIX";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C3";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C4";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C5";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C6";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C7";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C8";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C9";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"C10";"";"C-PR-SMD-TE-D";"TE-D-7343";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"AP2112K-3.3TRG1";"AP2112K-3.3TRG1";"SOT95P282X130-5N";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"1.3mm";"Diodes Inc.";"AP2112K-3.3TRG1";"";"621-AP2112K-3.3TRG1";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-AP2112K-3.3TRG1";"";"";"";"";
"IC3";"ATSAMD21G18A-AU";"ATSAMD21G18A-AU";"QFP50P900X900X120-48N";"ATMEL - ATSAMD21G18A-AU - MCU, 32BIT, CORTEX-M0+, 48MHZ, TQFP-48";"";"ATMEL - ATSAMD21G18A-AU - MCU, 32BIT, CORTEX-M0+, 48MHZ, TQFP-48";"1.2mm";"Microchip";"ATSAMD21G18A-AU";"";"556-ATSAMD21G18A-AU";"https://www.mouser.com/Search/Refine.aspx?Keyword=556-ATSAMD21G18A-AU";"";"";"";"";
"J1";"S4B-ZR__(LF)(SN)";"S4B-ZR__(LF)(SN)";"SHDR4W50P0X150_1X4_750X600X370";"ZH 1.5MM HEADER SIDE ENTRY 04WAY JST ZH Series, 1.5mm Pitch 4 Way 1 Row Side Entry PCB Header, Solder Termination, 1A";"";"ZH 1.5MM HEADER SIDE ENTRY 04WAY JST ZH Series, 1.5mm Pitch 4 Way 1 Row Side Entry PCB Header, Solder Termination, 1A";"3.7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"S4B-ZR  (LF)(SN)";"";"";"";"";"";"";"";
"J2";"DX4R005HJ5R2000";"DX4R005HJ5R2000";"DX4R005HJ5";"USB Connectors microUSB 2.0 TYPE B STDMNT RCPT NO TAPER";"";"USB Connectors microUSB 2.0 TYPE B STDMNT RCPT NO TAPER";"mm";"JAE Electronics";"DX4R005HJ5R2000";"";"656-DX4R005HJ5R2000";"https://www.mouser.com/Search/Refine.aspx?Keyword=656-DX4R005HJ5R2000";"";"";"";"";
